Strain,L-ara_concentration,Time_post_induction,CFU/mL
EV,0,0,1000000
EV,0,0,900000
EV,0,0,700000
EV,0,1,25000000
EV,0,1,24000000
EV,0,1,11000000
EV,0,4,140000000
EV,0,4,110000000
EV,0,4,60000000
EV,0,12,1200000000
EV,0,12,540000000
EV,0,12,550000000
EV,0,22,2000000000
EV,0,22,1600000000
EV,0,22,1800000000
EV,0.01,0,1100000
EV,0.01,0,1100000
EV,0.01,0,1600000
EV,0.01,1,27000000
EV,0.01,1,27000000
EV,0.01,1,33000000
EV,0.01,4,190000000
EV,0.01,4,60000000
EV,0.01,4,90000000
EV,0.01,12,430000000
EV,0.01,12,160000000
EV,0.01,12,410000000
EV,0.01,22,900000000
EV,0.01,22,1000000000
EV,0.01,22,900000000
EV,0.02,0,3500000
EV,0.02,0,1000000
EV,0.02,0,1600000
EV,0.02,1,15000000
EV,0.02,1,29000000
EV,0.02,1,21000000
EV,0.02,4,220000000
EV,0.02,4,100000000
EV,0.02,4,50000000
EV,0.02,12,460000000
EV,0.02,12,420000000
EV,0.02,12,450000000
EV,0.02,22,1100000000
EV,0.02,22,700000000
EV,0.02,22,400000000
EV,0.05,0,5000000
EV,0.05,0,3600000
EV,0.05,0,5000000
EV,0.05,1,4200000
EV,0.05,1,26000000
EV,0.05,1,33000000
EV,0.05,4,140000000
EV,0.05,4,130000000
EV,0.05,4,150000000
EV,0.05,12,900000000
EV,0.05,12,660000000
EV,0.05,12,480000000
EV,0.05,22,1300000000
EV,0.05,22,1100000000
EV,0.05,22,1500000000
EV,0.1,0,2000000
EV,0.1,0,5200000
EV,0.1,0,4700000
EV,0.1,1,15000000
EV,0.1,1,12000000
EV,0.1,1,8000000
EV,0.1,4,16000000
EV,0.1,4,8000000
EV,0.1,4,110000000
EV,0.1,12,390000000
EV,0.1,12,250000000
EV,0.1,12,250000000
EV,0.1,22,1700000000
EV,0.1,22,1300000000
EV,0.1,22,1600000000
EV,0.2,0,3300000
EV,0.2,0,800000
EV,0.2,0,2000000
EV,0.2,1,15000000
EV,0.2,1,10000000
EV,0.2,1,16000000
EV,0.2,4,90000000
EV,0.2,4,24000000
EV,0.2,4,11000000
EV,0.2,12,560000000
EV,0.2,12,260000000
EV,0.2,12,210000000
EV,0.2,22,500000000
EV,0.2,22,1100000000
EV,0.2,22,1600000000
EptA,0,0,1000000
EptA,0,0,2900000
EptA,0,0,1600000
EptA,0,1,27000000
EptA,0,1,19000000
EptA,0,1,21000000
EptA,0,4,290000000
EptA,0,4,200000000
EptA,0,4,180000000
EptA,0,12,900000000
EptA,0,12,1000000000
EptA,0,12,1300000000
EptA,0,22,2500000000
EptA,0,22,1800000000
EptA,0,22,1600000000
EptA,0.01,0,1700000
EptA,0.01,0,3600000
EptA,0.01,0,10000000
EptA,0.01,1,1600000
EptA,0.01,1,600000
EptA,0.01,1,1700000
EptA,0.01,4,50000
EptA,0.01,4,43000
EptA,0.01,4,48000
EptA,0.01,12,14000000
EptA,0.01,12,23000000
EptA,0.01,12,10000000
EptA,0.01,22,2000000000
EptA,0.01,22,1200000000
EptA,0.01,22,1700000000
EptA,0.02,0,5000000
EptA,0.02,0,2200000
EptA,0.02,0,3600000
EptA,0.02,1,1500000
EptA,0.02,1,1900000
EptA,0.02,1,2600000
EptA,0.02,4,180000
EptA,0.02,4,30000
EptA,0.02,4,60000
EptA,0.02,12,45000000
EptA,0.02,12,47000000
EptA,0.02,12,40000000
EptA,0.02,22,1700000000
EptA,0.02,22,700000000
EptA,0.02,22,600000000
EptA,0.05,0,11000000
EptA,0.05,0,4500000
EptA,0.05,0,5700000
EptA,0.05,1,900000
EptA,0.05,1,800000
EptA,0.05,1,1700000
EptA,0.05,4,230000
EptA,0.05,4,140000
EptA,0.05,4,90000
EptA,0.05,12,46000000
EptA,0.05,12,45000000
EptA,0.05,12,28000000
EptA,0.05,22,780000000
EptA,0.05,22,1500000000
EptA,0.05,22,1200000000
EptA,0.1,0,3100000
EptA,0.1,0,2300000
EptA,0.1,0,1600000
EptA,0.1,1,13000000
