Strain,L-ara_concentration,Time_post_induction,CFU/mL
PET-B,0,0,16000000
PET-B,0,0,3900000
PET-B,0,0,3800000
PET-B,0,1,53000000
PET-B,0,1,36000000
PET-B,0,1,37000000
PET-B,0,4,420000000
PET-B,0,4,410000000
PET-B,0,4,390000000
PET-B,0,12,510000000
PET-B,0,12,420000000
PET-B,0,12,500000000
PET-B,0,22,500000000
PET-B,0,22,600000000
PET-B,0,22,500000000
PET-C,0,0,19000000
PET-C,0,0,7000000
PET-C,0,0,11000000
PET-C,0,1,90000000
PET-C,0,1,90000000
PET-C,0,1,80000000
PET-C,0,4,400000000
PET-C,0,4,570000000
PET-C,0,4,1000000000
PET-C,0,12,220000000
PET-C,0,12,350000000
PET-C,0,12,570000000
PET-C,0,22,500000000
PET-C,0,22,900000000
PET-C,0,22,1000000000
PET-B,0.05,0,17000000
PET-B,0.05,0,5000000
PET-B,0.05,0,12000000
PET-B,0.05,1,110000000
PET-B,0.05,1,50000000
PET-B,0.05,1,34000000
PET-B,0.05,4,230000000
PET-B,0.05,4,410000000
PET-B,0.05,4,470000000
PET-B,0.05,12,50000000
PET-B,0.05,12,80000000
PET-B,0.05,12,90000000
PET-B,0.05,22,140000000
PET-B,0.05,22,130000000
PET-B,0.05,22,60000000
PET-C,0.05,0,23000000
PET-C,0.05,0,10000000
PET-C,0.05,0,8000000
PET-C,0.05,1,130000000
PET-C,0.05,1,30000000
PET-C,0.05,1,110000000
PET-C,0.05,4,70000000
PET-C,0.05,4,120000000
PET-C,0.05,4,100000000
PET-C,0.05,12,37000000
PET-C,0.05,12,17000000
PET-C,0.05,12,21000000
PET-C,0.05,22,490000000
PET-C,0.05,22,400000000
PET-C,0.05,22,350000000
