Strain,CFU_initial,CFU_final,comp_CFU_initial,comp_CFU_final,Strain_ratio,comp_ratio,Fitness,Fitness_adj_WT
WT,294400,170000000,1.92E+07,950000000,577.4456522,49.57728838,11.64738272,1.318218973
WT,391500,160000000,1.92E+07,1300000000,408.6845466,67.84260516,6.024010217,0.681781027
WT,8.39E+03,9.20E+08,5.20E+02,3.60E+08,109660.8856,692307.6923,0.158399057,0.952611672
WT,4.11E+03,7.30E+08,5.20E+02,5.30E+08,177507.5988,1019230.769,0.174158399,1.047388328
EV,1093300,220000000,1.92E+07,850000000,201.2256471,44.35862645,4.536336294,0.513410155
EV,1432600,530000000,1.92E+07,910000000,369.956722,47.48982361,7.790231547,0.881677135
EV,1667,440000000,5.20E+02,620000000,263947.2106,1192307.692,0.22137508,1.331349371
EV,1500.3,470000000,5.20E+02,410000000,313270.6792,788461.5385,0.39731891,2.389475282
EptA,921120,10000,1.92E+07,1060000000,0.010856349,55.31781651,0.000196254,2.22115E-05
EptA,677030,140000,1.92E+07,1550000000,0.206785519,80.88925999,0.002556403,0.000289327
EptA,2067.44,140000,5.20E+02,420000000,67.71659637,807692.3077,8.38396E-05,0.000504211
EptA,1025.8,250000,5.20E+02,1460000000,243.7122246,2807692.308,8.68016E-05,0.000522025
MCR-1,1482000,5600000,1.92E+07,1500000000,3.778677463,78.27992903,0.048271345,0.005463219
MCR-1,593400,4100000,1.92E+07,1410000000,6.90933603,73.58313328,0.093898367,0.010627161
MCR-1,2208,46000000,5.20E+02,850000000,20833.33333,1634615.385,0.012745098,0.076648999
MCR-1,14941,27000000,5.20E+02,650000000,1807.107958,1250000,0.001445686,0.008694355
MCR-3,501600,12000000,1.92E+07,840000000,23.92344498,43.83676025,0.545739348,0.061765289
MCR-3,593400,5000000,1.92E+07,900000000,8.426019548,46.96795742,0.179399318,0.020303925
MCR-3,14718,52000000,5.20E+02,950000000,3533.088735,1826923.077,0.001933901,0.011630479
MCR-3,14941,36000000,5.20E+02,730000000,2409.477277,1403846.154,0.00171634,0.010322066
MCR-9,459300,3700000,1.92E+07,870000000,8.055736991,45.40235884,0.177429922,0.020081034
MCR-9,540720,2600000,1.92E+07,720000000,4.80840361,37.57436593,0.127970319,0.014483331
MCR-9,234,400000,5.20E+02,900000000,1709.401709,1730769.231,0.000987654,0.005939751
MCR-9,468,440000,5.20E+02,850000000,940.1709402,1634615.385,0.000575163,0.003459032
PET-B,3273600,20000000,1.92E+07,1150000000,6.109481916,60.01461225,0.101799906,0.011521435
PET-B,2935500,19000000,1.92E+07,910000000,6.472491909,47.48982361,0.136292187,0.015425178
PET-B,1633.66,150000000,5.20E+02,640000000,91818.37102,1230769.231,0.074602426,0.448658872
PET-B,1595.65,160000000,5.20E+02,600000000,100272.6162,1153846.154,0.086902934,0.522634104
PET-C,1312200,10000000,1.92E+07,1330000000,7.620789514,69.40820374,0.109796668,0.012426487
PET-C,278300,150000,1.92E+07,1520000000,0.538986705,79.32366141,0.006794778,0.000769014
PET-C,4000.8,21000000,5.20E+02,530000000,5248.95021,1019230.769,0.005149913,0.030971571
PET-C,3000.6,50000000,5.20E+02,590000000,16663.334,1134615.385,0.014686328,0.088323554
