Strain,CFU_initial,CFU_final,comp_CFU_initial,comp_CFU_final,Strain_ratio,comp_ratio,Fitness,Fitness_adj_WT
WT,7.09E+05,1,2.70E+05,1,1.41E-06,3.70E-06,3.81E-01,1.029910666
WT,8.01E+05,1,2.70E+05,1,1.25E-06,3.70E-06,3.37E-01,0.911203579
WT,8.94E+05,1,2.70E+05,1,1.12E-06,3.70E-06,3.02E-01,0.81639284
WT,2.88E+06,2200000001,1.57E+05,400000001,7.64E+02,2.55E+03,2.99E-01,0.808237938
WT,3.00E+06,2440000001,1.57E+05,240000001,8.13E+02,1.53E+03,5.31E-01,1.434254976
EV,1.15E+06,1,2.70E+05,1,8.72E-07,3.70E-06,2.35E-01,0.63639639
EV,1.11E+06,1,2.70E+05,1,9.02E-07,3.70E-06,2.44E-01,0.658091702
EV,1.20E+06,1,2.70E+05,1,8.33E-07,3.70E-06,2.25E-01,0.607469305
EV,8.98E+05,1510000001,1.57E+05,220000001,1.68E+03,1.40E+03,1.20E+00,3.23623551
EV,1.14E+06,1550000001,1.57E+05,190000001,1.35E+03,1.21E+03,1.12E+00,3.015902359
EptA,3.85E+05,5151,2.70E+05,1,1.34E-02,3.70E-06,3.61E+03,9756.359591
EptA,3.27E+05,3101,2.70E+05,1,9.48E-03,3.70E-06,2.56E+03,6914.500423
EptA,2.90E+05,1,2.70E+05,1,3.44E-06,3.70E-06,9.30E-01,2.51236133
EptA,1.34E+06,2000001,1.57E+05,2200000001,1.50E+00,1.40E+04,1.07E-04,0.000288071
EptA,1.07E+06,80000001,1.57E+05,1750000001,7.49E+01,1.12E+04,6.70E-03,0.018101905
MCR-1,7.84E+05,50000001,2.60E+05,1,6.38E+01,3.85E-06,1.66E+07,44812729.31
MCR-1,4.16E+05,30000001,2.60E+05,1,7.21E+01,3.85E-06,1.87E+07,50672798.95
MCR-1,1.13E+06,5910001,2.70E+05,1,5.24E+00,3.70E-06,1.42E+06,3826513.735
MCR-1,1.85E+06,12800001,1.57E+05,1,6.93E+00,6.39E-06,1.09E+06,2934588.785
MCR-1,1.55E+06,2800001,1.57E+05,1,1.80E+00,6.39E-06,2.82E+05,762563.6061
MCR-3,4.23E+05,370001,2.70E+05,1,8.76E-01,3.70E-06,2.36E+05,639021.0731
MCR-3,2.84E+05,880001,2.70E+05,1,3.10E+00,3.70E-06,8.37E+05,2262607.737
MCR-3,3.30E+05,214001,2.70E+05,1,6.48E-01,3.70E-06,1.75E+05,473195.4613
MCR-3,1.52E+06,73001,1.57E+05,1,4.80E-02,6.37E-06,7.54E+03,20364.49351
MCR-3,1.06E+06,250001,1.57E+05,1,2.35E-01,6.37E-06,3.69E+04,99695.14585
MCR-9,4.23E+05,11800001,2.70E+05,1,2.79E+01,3.70E-06,7.54E+06,20379055.29
MCR-9,4.04E+05,7200001,2.70E+05,500001,1.78E+01,1.85E+00,9.62E+00,25.99972747
MCR-9,7.72E+05,560001,2.70E+05,1,7.26E-01,3.70E-06,1.96E+05,529626.6335
MCR-9,5.04E+05,30000001,1.57E+05,1560000001,5.95E+01,9.94E+03,5.99E-03,0.016182023
MCR-9,5.03E+05,20000001,1.57E+05,1540000001,3.98E+01,9.81E+03,4.05E-03,0.010952882
PET-B,3.79E+05,1,2.70E+05,1,2.64E-06,3.70E-06,7.12E-01,1.924290118
PET-B,3.48E+05,1,2.70E+05,1,2.88E-06,3.70E-06,7.77E-01,2.09922508
PET-B,2.74E+05,1,2.70E+05,1,3.65E-06,3.70E-06,9.87E-01,2.66699587
PET-B,1.79E+06,1320000001,1.57E+05,750000001,7.39E+02,4.78E+03,1.55E-01,0.41812417
PET-B,1.92E+06,1700000001,1.57E+05,350000001,8.85E+02,2.23E+03,3.97E-01,1.073380557
PET-C,6.73E+05,1,2.70E+05,1,1.49E-06,3.70E-06,4.01E-01,1.084559531
PET-C,8.89E+05,1,2.70E+05,1,1.12E-06,3.70E-06,3.04E-01,0.82061619
PET-C,6.02E+05,1,2.70E+05,1,1.66E-06,3.70E-06,4.49E-01,1.212514996
PET-C,2.05E+06,120000001,1.57E+05,1570000001,5.84E+01,1.00E+04,5.84E-03,0.015789023
PET-C,3.43E+06,50000001,1.57E+05,1330000001,1.46E+01,8.47E+03,1.72E-03,0.004650487
